2016-3-1 13:57:19,1.25
2016-3-1 13:57:20,1.25
2016-3-1 13:57:21,1.25
2016-3-1 13:57:22,1.25
2016-3-1 13:57:23,1.25
2016-3-1 13:57:24,1.25
2016-3-1 13:57:25,1.25
2016-3-1 13:57:26,1.25
2016-3-1 13:57:27,1.25
2016-3-1 13:57:28,1.25
2016-3-1 13:57:29,1.25
2016-3-1 13:57:30,1.25
2016-3-1 13:57:31,1.25
2016-3-1 13:57:32,1.25
2016-3-1 13:57:33,1.25
2016-3-1 13:57:34,1.25
2016-3-1 13:57:35,1.25
2016-3-1 13:57:36,1.25
2016-3-1 13:57:37,1.25
2016-3-1 13:57:38,1.25
2016-3-1 13:57:39,1.25
2016-3-1 13:57:40,1.25
2016-3-1 13:57:41,1.25
2016-3-1 13:57:42,1.25
2016-3-1 13:57:48,1.25
2016-3-1 14:3:36,1.25
2016-3-1 14:3:37,1.25
2016-3-1 14:3:38,1.25
2016-3-1 14:3:39,1.25
2016-3-1 14:3:40,1.25
2016-3-1 14:3:41,1.25
2016-3-1 14:3:42,1.25
2016-3-1 14:3:43,1.25
2016-3-1 14:3:44,1.25
2016-3-1 14:3:45,1.25
2016-3-1 14:3:46,1.25
2016-3-1 14:3:47,1.25
2016-3-1 14:4:36,1.25
2016-3-1 14:4:37,1.25
2016-3-1 14:4:38,1.25
2016-3-1 14:5:30,1.25
2016-3-1 14:5:31,1.25
2016-3-1 14:5:32,1.25
2016-3-1 14:5:33,1.25
2016-3-1 14:5:34,1.25
2016-3-1 14:5:35,1.25
2016-3-1 14:5:36,1.25
2016-3-1 14:5:37,1.25
2016-3-1 14:5:38,1.25
2016-3-1 14:5:39,1.25
2016-3-1 14:5:40,1.25
2016-3-1 14:5:41,1.25
2016-3-1 14:5:42,1.25
2016-3-1 14:5:43,1.25
2016-3-1 14:5:44,1.25
2016-3-1 14:5:45,1.25
2016-3-1 14:5:46,1.25
2016-3-1 14:5:47,1.25
2016-3-1 14:5:48,1.25
2016-3-1 14:5:49,1.25
2016-3-1 14:5:50,1.25
2016-3-1 14:5:51,1.25
2016-3-1 14:5:52,1.25
